[ Wed Apr 27 16:14:54 2016 ]=>  Parsa  copier  blacklife  Nort [105831687] added SuperGroup
 
[ Wed Apr 27 16:14:58 2016 ]=>  Parsa  copier  blacklife  Nort [105831687] requested SuperGroup ID
 
[ Wed Apr 27 16:15:05 2016 ]=>  Parsa  copier  blacklife  Nort [105831687] requested SuperGroup settings 
 
[ Wed Apr 27 16:15:16 2016 ]=>  Parsa  copier  blacklife  Nort [105831687] locked link posting 
 
[ Thu Apr 28 08:49:38 2016 ]=>  (¯`•.)(ﻣ̝̚حّـﻣ̝̚دّرّضّـﺂ̣̥̐)(¯`•.) [186324695] kicked for #spam
 
[ Thu Apr 28 09:00:16 2016 ]=>  Mostafa [160846536] kicked for #spam
 
[ Thu Apr 28 09:04:35 2016 ]=>  R @Bato1234 [179116253] kicked for #spam
 
[ Thu Apr 28 09:07:54 2016 ]=>  aylar.H @a_h_20 [114656403] kicked for #spam
 
[ Thu Apr 28 09:07:55 2016 ]=>  اسپارتاکوس [123276875] kicked for #spam
 
[ Thu Apr 28 09:12:12 2016 ]=>  Mostafa [160846536] kicked for #spam
 
[ Thu Apr 28 09:14:11 2016 ]=>  »{MOHMMAD}« [125764194] kicked for #spam
 
[ Thu Apr 28 09:17:04 2016 ]=>  هSamiستمرواله?¿ @Biling_hot [198048759] kicked for #spam
 
[ Thu Apr 28 09:22:16 2016 ]=>  ▁▂▃▄▅▆▇█↪⇝Ѧℜ∀ Ħ Ðęŕą ķøłą ℓﾑsɦ ｲɨℳε↫🎭↩▇▆▅▄▃▂▁ 💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀 💀💀💀💀💀💀💀💀💀💀💀💀 💀💀💀💀💀💀💀💀💀💀💀💀 💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀 💀💀💀💀💀💀💀💀💀💀💀💀 ⇘⇙⇘⇙⇘⇙⇘⇙⇘⇙⇘⇙⇘⇙ ☠☠☠☠☠☠☠☠☠☠☠☠  ▒▒↩إږۺ⇲دراکولا⇝ڵش تاىم↹ب‍ ‍ک‍ ‍ن‍ ‍ه‍ بڈڂآ ړۉآلھ↭↪▒▒▉███ [116863828] joined and Service Msg deleted (#spam name)
 
[ Thu Apr 28 09:25:51 2016 ]=>  (نيماجووووون) @nnyma79 [108954171] kicked for #spam
 
[ Thu Apr 28 09:27:08 2016 ]=>  علیجون [137808630] kicked for #spam
 
[ Thu Apr 28 09:29:55 2016 ]=>  <<<<شيطان>>>> @tanha09900 [187299680] kicked for #spam
 
[ Thu Apr 28 09:30:00 2016 ]=>  ⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬ @bose2 [76573856] kicked for #spam
 
[ Thu Apr 28 09:32:03 2016 ]=>  Loveyou @nerdesinn [135281758] kicked for #spam
 
[ Thu Apr 28 09:33:52 2016 ]=>  🚫ۅڔۅڋممݧـــــــۅع🚫 [128680204] kicked for #spam
 
[ Thu Apr 28 09:33:58 2016 ]=>  Mahdi [175687911] kicked for #spam
 
[ Thu Apr 28 09:36:32 2016 ]=>  خ:شم:ظ [53549864] kicked for #spam
 
[ Thu Apr 28 09:38:47 2016 ]=>  Siavash#1 [189636657] kicked for #spam
 
[ Thu Apr 28 09:40:10 2016 ]=>  هSamiستمرواله?¿ @Biling_hot [198048759] kicked for #spam
 
[ Thu Apr 28 09:46:41 2016 ]=>  Amirali#1 @Guilty19 [113684779] kicked for #spam
 
[ Thu Apr 28 09:48:59 2016 ]=>  زردالو @zardalooo_ads [219613020] kicked for #spam
 
[ Thu Apr 28 09:49:50 2016 ]=>  Mohammadizadi @M_izadi313 [218932394] kicked for #spam
 
[ Thu Apr 28 09:53:56 2016 ]=>  Saeid @haji_land3 [110901268] kicked for #spam
 
[ Thu Apr 28 09:57:25 2016 ]=>  asaljoooon @ahmad06606 [140929092] kicked for #spam
 
[ Thu Apr 28 09:58:17 2016 ]=>  MasudWolfman @masudbokan [118669676] kicked for #spam
 
[ Thu Apr 28 10:16:44 2016 ]=>  ⇦محمدحسینツ @ashena_78 [115597353] kicked for #spam
 
[ Thu Apr 28 10:16:45 2016 ]=>  ⇦محمدحسینツ @ashena_78 [115597353] kicked for #spam
 
[ Thu Apr 28 10:17:49 2016 ]=>  ملیکا @Melikaesh [171827341] kicked for #spam
 
[ Thu Apr 28 10:21:23 2016 ]=>  MohammadReza Admin [87946267] joined the SuperGroup via link
 
[ Thu Apr 28 10:21:42 2016 ]=>  MohammadReza [87946267] locked link posting 
 
[ Thu Apr 28 10:27:13 2016 ]=>  کتایون [127986540] kicked for #spam
 
[ Thu Apr 28 10:58:59 2016 ]=>  🍃🌀haMenan🌀🍃هه [201479187] kicked for #spam
 
[ Thu Apr 28 11:00:17 2016 ]=>  shahrokh(rep) @shahrokh3134 [173638309] kicked for #spam
 
[ Thu Apr 28 11:05:22 2016 ]=>  پانی..........مانی💟 [195718783] kicked for #spam
 
[ Thu Apr 28 11:09:39 2016 ]=>  ♜loneboy♜ @Homayoon1372 [216211075] kicked for #spam
 
[ Thu Apr 28 11:15:02 2016 ]=>  ***نغمه [89419557] kicked for #spam
 
[ Thu Apr 28 11:15:56 2016 ]=>  👑امیرخان👑 [218633948] kicked for #spam
 
[ Thu Apr 28 11:16:40 2016 ]=>  ⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬ @bose2 [76573856] kicked for #spam
 
[ Thu Apr 28 11:47:06 2016 ]=>  asaljoooon @ahmad06606 [140929092] kicked for #spam
 
[ Thu Apr 28 11:50:31 2016 ]=>  Arash [94343208] kicked for #spam
 
[ Thu Apr 28 12:11:42 2016 ]=>  پریزیدنت @Moviea0tabliqat [215517871] kicked for #spam
 
[ Thu Apr 28 12:14:18 2016 ]=>  asaljoooon @ahmad06606 [140929092] kicked for #spam
 
[ Thu Apr 28 12:19:23 2016 ]=>  Mahdi♡ [66593796] kicked for #spam
 
[ Thu Apr 28 12:37:48 2016 ]=>  ☜↺ِِِمِِِـِِِن ِِِپِِِسِِِرِِِیِِِم ِِِڪِِِہ ِِِعَِِِـِِِوَِِِض ِِِنِِِِمِِِیِِِشِِِـِِِـَِِِم❔  َ ♚ِِِتِِِْرٍِِِیِِِّپً ِِِرًِِِپِِِّیِِِمْ♚  ⇦ِِِقِِِیِِِآِِِفَِِِم⇦ِِِسَِِِبِِِکَِِِم⇦ِِِمُِِِوِِِزِِِْیِِِکًِِِم⇦ِِِعِِِِشِِِْقٍ  ِِهٍِِیِِْپ⇋ِِهِِآِِپْ [118696755] joined and Service Msg deleted (#spam name)
 
[ Thu Apr 28 12:40:12 2016 ]=>  😊😊😊 [205342733] kicked for #spam
 
[ Thu Apr 28 12:45:09 2016 ]=>  Fati [133663724] kicked for #spam
 
[ Thu Apr 28 12:49:38 2016 ]=>  SeedRhimiTnha @saeedrahimi70 [157678421] kicked for #spam
 
[ Thu Apr 28 13:32:37 2016 ]=>  Paniz [195947730] kicked for #spam
 
[ Thu Apr 28 13:35:01 2016 ]=>  😻↯↯รʌʝʝʌɗ↯↯😻 @eagle_045 [78070980] kicked for #spam
 
[ Thu Apr 28 13:39:13 2016 ]=>  متین @lkjhg0 [212866543] kicked for #spam
 
[ Thu Apr 28 13:46:39 2016 ]=>  paniz @Paniz10 [194464688] kicked for #spam
 
[ Thu Apr 28 14:21:35 2016 ]=>  علی [96969069] kicked for #spam
 
[ Thu Apr 28 14:22:28 2016 ]=>  HB @bigonah1394 [163009927] kicked for #spam
 
[ Thu Apr 28 14:23:11 2016 ]=>  Keyvan @Keyvan606 [145305464] kicked for #spam
 
[ Thu Apr 28 14:28:19 2016 ]=>  OS2💝reaportedNP3💟 @os2np3 [181731054] kicked for #spam
 
[ Thu Apr 28 14:40:13 2016 ]=>  Behrouz [162311512] kicked for #spam
 
[ Thu Apr 28 14:56:41 2016 ]=>  سنورخانوم [191319294] kicked for #spam
 
[ Thu Apr 28 14:56:42 2016 ]=>  ••××•• @Torbox [125535129] kicked for #spam
 
[ Thu Apr 28 15:37:25 2016 ]=>  ☆☆☆rezayas☆☆☆ @reza217400 [206159701] kicked for #spam
 
[ Thu Apr 28 15:42:39 2016 ]=>  🌟moen🌟 @takmusic11 [146145237] kicked for #spam
 
[ Thu Apr 28 16:13:55 2016 ]=>  سحراصلانی @farsed [108796340] kicked for #spam
 
[ Fri Apr 29 08:27:50 2016 ]=>  خدایاکیه تنهایی قلبم نشکن من یارمی خواهم مگرمن انسانت نیستم خدایاتاکیه تنهایی [157658618] joined and Service Msg deleted (#spam name)
 
[ Fri Apr 29 17:22:32 2016 ]=>  پشت شیشه برف می بارددرسکوت سینه ام دستی دانه ی اندوه می کارد [94911052] joined and Service Msg deleted (#spam name)
 
[ Fri Apr 29 21:34:14 2016 ]=>  ▒▒ ✌💕F 🅰 ردIن 💕✌▒▒▒▒ ✌💕F 🅰 ردIن 💕✌▒▒▒▒ ✌💕F 🅰 ردIن 💕✌▒▒ [197901197] joined and Service Msg deleted (#spam name)
 
[ Fri Apr 29 22:28:30 2016 ]=>  MohammadReza [87946267] locked link posting 
 
[ Sat Apr 30 05:08:38 2016 ]=>  ریپورتم، استیکربفرستیدتابتوانم پیام بدم [132047038] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 09:39:17 2016 ]=>  👉👄 /\/\¡r مابدنبودیم چون بلدنبودیم👄👈 [140253400] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 09:40:50 2016 ]=>  ☜❣نـــــــηαsтÅяѦИــــــښــــــــــے❣ [116317375] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 09:41:20 2016 ]=>  ازًًًًًًًًًًًًًًًًًًًًًًًًًََََ یادٍٍٍٍٍٍٍٍٍٍٍٍٍُُِ رًًًًًًًًًًًًًًًًًًًًًًًًََفتٍٍٍٍٍِِِِِِِِِِِِِه... [144640505] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 10:19:15 2016 ]=>  مجید ✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌ [106577576] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 12:47:19 2016 ]=>  دوست دارم خداااااااااا هیچ وقت تنهام نزار [203966998] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 13:25:13 2016 ]=>  ✍غــــــــــ ↯〆Âţă§hįňــــــــــرور➴ [156286013] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 13:25:13 2016 ]=>  ✍غــــــــــ ↯〆Âţă§hįňــــــــــرور➴ [156286013] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 13:26:55 2016 ]=>  اسماعیل @esmaelhatami [152574626] kicked for #spam
 
[ Sat Apr 30 13:26:55 2016 ]=>  اسماعیل @esmaelhatami [152574626] kicked for #spam
 
[ Sat Apr 30 13:30:27 2016 ]=>  ✍غــــــــــ↯〆Âţă§hįňــــــــــرور➴ [156286013] kicked for #spam
 
[ Sat Apr 30 13:30:28 2016 ]=>  ✍غــــــــــ↯〆Âţă§hįňــــــــــرور➴ [156286013] kicked for #spam
 
[ Sat Apr 30 13:43:44 2016 ]=>  دخترای ساپورتی ونازک پوش بیان خاص دخترای ساپورتی ونازک پوش [22715793] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 13:56:26 2016 ]=>  shalalvandریپورتم @Vshalalvand [183759905] kicked for #spam
 
[ Sat Apr 30 14:36:14 2016 ]=>  دُخــــــــــــی رومُـــــــــــــــخی [184210519] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 14:39:48 2016 ]=>  Pesarrap @Pesar_rap [178021702] kicked for #spam
 
[ Sat Apr 30 14:48:00 2016 ]=>  سلطانغمها [99600053] kicked for #spam
 
[ Sat Apr 30 14:48:15 2016 ]=>  💀فًاکـَُــــٍْـــــــــAliًٍـٍـٍــــّْــــــٍُــًٌْــر💀 [188864811] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 14:54:39 2016 ]=>  ⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬⁬ @bose2 [76573856] kicked for #spam
 
[ Sat Apr 30 15:12:09 2016 ]=>  asaljoooon @ahmad06606 [140929092] kicked for #spam
 
[ Sat Apr 30 15:12:09 2016 ]=>  asaljoooon [140929092] banned user is talking !
 
[ Sat Apr 30 15:12:09 2016 ]=>  asaljoooon @ahmad06606 [140929092] kicked for #spam
 
[ Sat Apr 30 16:31:19 2016 ]=>  ایرجعلیاصغری [209241576] kicked for #spam
 
[ Sat Apr 30 16:42:46 2016 ]=>  JdddkKddd [174686441] kicked for #spam
 
[ Sat Apr 30 17:14:39 2016 ]=>  ريپورتم20تااستيکر😘💮so〰may♠💮💯 @Oxije [218904368] kicked for #spam
 
[ Sat Apr 30 17:35:15 2016 ]=>  »{MOHMMAD}« [125764194] kicked for #spam
 
[ Sat Apr 30 18:03:10 2016 ]=>  اسماعيلم [134346180] kicked for #spam
 
[ Sun May  1 12:17:00 2016 ]=>  😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇 [213919642] joined and Service Msg deleted (#spam name)
 
[ Sun May  1 12:32:39 2016 ]=>  ▁▂▃▄▅▆▇↪ჯًًًًًًًًًًًًًٍٍٍٍٍٍُٓٓٔٔٔჯًًًًًًًًًًًًًٍٍٍٍٍٍٓٓٔٔٔჯًًًًًًًًًًًٍٍٍٍٍٍ⇝Ѧℜ∀ Ħ Ðęŕɐʞolɐ ₰asнｲɨℳε↫🎭↩▇▆▅▄▃▂▁ 💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀 💀💀💀💀💀💀💀💀💀💀💀💀 💀💀💀💀💀💀💀💀💀💀💀💀 💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀 💀💀💀💀💀💀💀💀💀💀💀💀 ⇘⇙⇘⇙⇘⇙⇘⇙⇘⇙⇘⇙⇘⇙ ☠☠☠☠☠☠☠☠☠☠☠☠  ▒▒↩إږۺ⇲دراکولا⇝ڵش تا [116863828] joined and Service Msg deleted (#spam name)
 
[ Sun May  1 12:40:07 2016 ]=>  ℳѺĦღღ∂ @Zz_mohammad_kingwolf_revale_Zz [160332607] kicked for #spam
 
[ Sun May  1 12:40:10 2016 ]=>  👹ځميڈĦѦღiÐℜ€zѦڕۻآ👹 @axxxxgd [148078397] kicked for #spam
 
[ Sun May  1 12:48:23 2016 ]=>  HM [42437553] kicked for #spam
 
[ Sun May  1 13:03:21 2016 ]=>  شیطونبلا [93646999] kicked for #spam
 
[ Sun May  1 13:12:55 2016 ]=>  ↝..Şάjăძ..↜ @Sajjad_12318 [130472568] kicked for #spam
 
[ Sun May  1 13:25:47 2016 ]=>  ▂▃▄▅▆❌ห๑สรศ๒❌▆▅▄▃▂ @TMbax74 [120340789] kicked for #spam
 
[ Sun May  1 14:21:25 2016 ]=>  Hamed#1 [142161787] kicked for #spam
 
[ Sun May  1 21:01:14 2016 ]=>  پشتیبانی پاسارگاد آلارم هشدار دهنده نشت گاز [130584020] joined and Service Msg deleted (#spam name)
 
[ Sun May  1 21:03:01 2016 ]=>  ┏┓╋┫┣╋★♥▶♣♠♬✓✽﹍▁▂▃▄▅▆▇█ŜªĻAْٓٓ®█▇▆▅▄▃▂▁﹍┏┓╋┫┣╋★♥▶♣♠♬✓✽﹍ ب ت چ [202894548] joined and Service Msg deleted (#spam name)
 
[ Mon May  2 13:21:05 2016 ]=>  دُخــــــــDOKHIــــی رومُــــــــــMOKHIـــــخی [184210519] joined and Service Msg deleted (#spam name)
 
[ Mon May  2 14:55:59 2016 ]=>  T.r........... [144313372] kicked for #spam
 
[ Mon May  2 14:58:11 2016 ]=>  ترانه @Vdyujbv [188252291] kicked for #spam
 
[ Mon May  2 15:55:41 2016 ]=>  ریـــــــٌـــــٍّــــAliـــــَُـــــــًٍــپــورَُتم [188864811] joined and Service Msg deleted (#spam name)
 
[ Mon May  2 16:18:16 2016 ]=>  علی#1 [173981548] kicked for #spam
 
[ Mon May  2 16:19:26 2016 ]=>  کمرم شکست از دست کسی که فکر میکردم یارمه توی زندگیم [129329774] joined and Service Msg deleted (#spam name)
 
[ Mon May  2 16:30:30 2016 ]=>  💥💫👦💫💥 [163890275] kicked for #spam
 
[ Mon May  2 17:09:24 2016 ]=>  👑King👑 @Khknm [199771827] kicked for #spam
 
[ Mon May  2 17:50:47 2016 ]=>  [̲̅ƒ̲̅][̲̅α̲̅][̲̅я̲̅][̲̅ѕ̲̅][̲̅н̲̅][̲̅ι̲̅][̲̅∂̲̅] [180078468] joined and Service Msg deleted (#spam name)
 
[ Mon May  2 18:00:22 2016 ]=>  &Arman& @Arman_nist [170619143] kicked for #spam
 
[ Mon May  2 18:07:14 2016 ]=>  ☆Reza021★ [186216449] kicked for #spam
 
[ Tue May  3 03:21:12 2016 ]=>  ٬٫َُِْْٰٖٕٓĥَُِّْٰٖٕٓٔąَُِْٰٖٕٓmَُِّْٰٖٕٖٓٔįَُِّْٰٖٕٓðَُِّْٰٖٕٓٔریپورت [182760955] joined and Service Msg deleted (#spam name)
 
[ Tue May  3 12:02:16 2016 ]=>  المیرا هستم ریپورتم ده تا استیکر بفرست تا گفتگو کنیم [182330885] joined and Service Msg deleted (#spam name)
 
[ Tue May  3 12:29:49 2016 ]=>  😘💮تنهاخدا💜💌 @Fcxdx [219628702] kicked for #spam
 
[ Tue May  3 12:45:03 2016 ]=>  قلبیخی...؟ [116821931] kicked for #spam
 
[ Tue May  3 12:46:16 2016 ]=>  دوبارهتنهایی @Chabl [69858598] kicked for #spam
 
[ Tue May  3 13:00:08 2016 ]=>   Armin Dev‌ [112840592] requested SuperGroup ID
 
[ Tue May  3 13:01:19 2016 ]=>   Armin Dev‌ [112840592] requested SuperGroup ID
 
[ Tue May  3 13:01:25 2016 ]=>  ارش [108804770] kicked for #spam
 
[ Tue May  3 13:01:47 2016 ]=>  👑TeleIran👑 BOT [163320706] requested SuperGroup ID
 
[ Tue May  3 13:02:00 2016 ]=>  .Ali. [218525663] requested SuperGroup ID
 
[ Tue May  3 13:02:00 2016 ]=>  .Ali. [218525663] requested SuperGroup ID
 
[ Tue May  3 13:06:04 2016 ]=>   Armin Dev‌ [112840592] requested SuperGroup ID
 
[ Tue May  3 18:34:48 2016 ]=>  علیرضا @Alireza1357HP [77736320] kicked for #spam
 
[ Wed May  4 10:51:17 2016 ]=>  mohammadkhas✌❥❀♛☁✉ ❤️💋💥🏀👄👑💍💔💘💝🕷🌎🔥🍾🍷🎧🎸🔫💣⛓💊💉✈️♏️🅾🚷📵🔞♻️⏪⏮▶️⏯⏭🔜 [165594072] joined and Service Msg deleted (#spam name)
 
[ Wed May  4 12:53:22 2016 ]=>  NAFAS [166426229] requested group rules
 
[ Wed May  4 12:54:37 2016 ]=>  دختر آتیش پاره [210176385] requested group rules
 
[ Wed May  4 12:56:26 2016 ]=>  REZA NO LOVE [115354255] requested group rules
 
[ Wed May  4 12:56:28 2016 ]=>  ................... [90132878] requested group rules
 
[ Wed May  4 12:56:38 2016 ]=>  ................... [90132878] requested group rules
 
[ Wed May  4 12:56:51 2016 ]=>   l! داش [131057774] requested group rules
 
[ Wed May  4 12:56:52 2016 ]=>  ................... [90132878] requested group rules
 
[ Wed May  4 12:56:55 2016 ]=>  ................... [90132878] requested group rules
 
[ Wed May  4 12:56:58 2016 ]=>  موسسه آوارت [113457165] requested group rules
 
[ Wed May  4 12:56:59 2016 ]=>  ................... [90132878] requested group rules
 
[ Wed May  4 12:57:03 2016 ]=>  ................... [90132878] requested group rules
 
[ Wed May  4 12:58:36 2016 ]=>  M Gh [173979345] requested group rules
 
[ Wed May  4 12:59:39 2016 ]=>  ..♡.. [194905648] requested group rules
 
[ Wed May  4 12:59:40 2016 ]=>  ..♡.. [194905648] requested group rules
 
[ Wed May  4 12:59:40 2016 ]=>  ..♡.. [194905648] requested group rules
 
[ Wed May  4 12:59:40 2016 ]=>  ..♡.. [194905648] requested group rules
 
[ Wed May  4 12:59:40 2016 ]=>  ..♡.. @DAVTALABMArc [194905648] kicked for #spam
 
[ Wed May  4 13:05:27 2016 ]=>  S.m [174708773] requested group rules
 
[ Wed May  4 13:06:11 2016 ]=>  😣🔫 [184919848] requested group rules
 
[ Wed May  4 13:09:15 2016 ]=>  😣🔫 [184919848] requested group rules
 
[ Wed May  4 13:09:24 2016 ]=>  محمد [136629546] requested group rules
 
[ Wed May  4 13:09:41 2016 ]=>  محمد [136629546] requested group rules
 
[ Wed May  4 13:09:46 2016 ]=>  😣🔫 [184919848] requested group rules
 
[ Wed May  4 13:10:42 2016 ]=>  محمد [136629546] requested group rules
 
[ Wed May  4 13:11:58 2016 ]=>  ,azadegane [105848991] requested group rules
 
[ Wed May  4 13:11:59 2016 ]=>  محمد [136629546] requested group rules
 
[ Wed May  4 13:11:59 2016 ]=>  محمد [136629546] requested group rules
 
[ Wed May  4 13:12:14 2016 ]=>  محمد [136629546] requested group rules
 
[ Wed May  4 13:12:48 2016 ]=>  ,azadegane [105848991] requested group rules
 
[ Wed May  4 13:13:30 2016 ]=>  ,azadegane [105848991] requested group rules
 
[ Wed May  4 13:13:39 2016 ]=>  Haji Mamali n [187877545] requested group rules
 
[ Wed May  4 13:13:44 2016 ]=>  Haji Mamali n [187877545] requested group rules
 
[ Wed May  4 13:14:45 2016 ]=>  AzadM [119601604] kicked for #spam
 
[ Wed May  4 13:35:28 2016 ]=>  »{MOHMMAD}« [125764194] kicked for #spam
 
[ Wed May  4 14:13:25 2016 ]=>  ..♡.. @DAVTALABMArc [194905648] kicked for #spam
 
[ Wed May  4 14:35:12 2016 ]=>  SeedRhimiTnha @saeedrahimi70 [157678421] kicked for #spam
 
[ Wed May  4 14:44:06 2016 ]=>  👑۞حڞـ؁ـڕت؏ـڕفاݧ[؏]👑 @apochii [211229868] kicked for #spam
 
[ Wed May  4 16:49:53 2016 ]=>  💔بــــــــــیــــــــــکــــــــــس💔 [230917442] joined and Service Msg deleted (#spam name)
 
[ Wed May  4 17:02:09 2016 ]=>  دخترتخص [189682569] kicked for #spam
 
[ Wed May  4 17:06:54 2016 ]=>  ❤مینا❤ @Moviea_tabliq [215517871] kicked for #spam
 
[ Wed May  4 17:52:49 2016 ]=>  👑ا ٌم‍ ‍ًًَِِی‍ ـً‍ًٍَِِر ًٌَّح‍ ‍ًًًًًًٍٍَّـًٌٍّس‍ ‍ًٍّی‍ ‍ًٍَّـًٍّن‍ ‍ـًًّ رًٍٍِّوًٍِّاًِّنـًٍِِّـًِّےَُِِّ✟۞ [163997569] joined and Service Msg deleted (#spam name)
 
[ Wed May  4 17:53:56 2016 ]=>  👑اٌم‍‍ًًَِِی‍ـً‍ًٍَِِرًٌَّح‍‍ًًًًًًٍٍَّـًٌٍّس‍‍ًٍّی‍‍ًٍَّـًٍّن‍‍ـًًّرًٍٍِّوًٍِّاًِّنـًٍِِّـًِّےَُِِّ✟۞ @Amir_ravanii [163997569] kicked for #spam
 
[ Thu May  5 07:35:45 2016 ]=>  امین [96668600] kicked for #spam
 
[ Thu May  5 08:21:54 2016 ]=>  Amirb4Reportam @Amirb4_b4 [121099547] kicked for #spam
 
[ Thu May  5 08:32:52 2016 ]=>  F.tJ @foad1379 [182024555] kicked for #spam
 
[ Thu May  5 08:52:49 2016 ]=>  shalalvandریپورتم @Vshalalvand [183759905] kicked for #spam
 
[ Thu May  5 10:40:47 2016 ]=>  حسنریاحی [203042317] kicked for #spam
 
[ Thu May  5 10:46:05 2016 ]=>  😊 @OoOoOoO_oOoOoOoO [105057227] kicked for #spam
 
[ Thu May  5 12:00:33 2016 ]=>  ℳ◎ĦαℳѦÐ..м [189154504] kicked for #spam
 
[ Thu May  5 12:08:43 2016 ]=>  سحراصلانی @farsed [108796340] kicked for #spam
 
[ Thu May  5 12:44:57 2016 ]=>  لطفا کمی صبر کنید................😠😠😠😠😠😜 [187352330] joined and Service Msg deleted (#spam name)
 
[ Thu May  5 13:11:08 2016 ]=>  MohammadReza [87946267] locked link posting 
 
[ Thu May  5 14:27:16 2016 ]=>  پــــــــــــــــــــژمـــــــــــــــــانــــــــــ [184606401] joined and Service Msg deleted (#spam name)
 
[ Thu May  5 14:31:41 2016 ]=>  میـოเղαـنا @taki337 [196320563] kicked for #spam
 
[ Thu May  5 15:02:20 2016 ]=>  ادمین کانال +10k میشم ریپورتم استیکر بدین [186181114] joined and Service Msg deleted (#spam name)
 
[ Thu May  5 15:04:27 2016 ]=>  Mahdi#1 [140312303] kicked for #spam
 
