[ Wed Apr 27 16:28:37 2016 ]=>  Parsa  copier  blacklife  Nort [105831687] added SuperGroup
 
[ Wed Apr 27 16:28:40 2016 ]=>  Parsa  copier  blacklife  Nort [105831687] requested SuperGroup ID
 
[ Wed Apr 27 16:28:48 2016 ]=>  Parsa  copier  blacklife  Nort [105831687] locked link posting 
 
[ Wed Apr 27 16:54:59 2016 ]=>  زینت [80107932] kicked for #spam
 
[ Wed Apr 27 17:04:12 2016 ]=>  MohammadReza Admin [87946267] joined the SuperGroup via link
 
[ Thu Apr 28 13:14:14 2016 ]=>  سام [119236286] kicked for #spam
 
[ Fri Apr 29 22:58:43 2016 ]=>  عَســــّـــــــــٔaَsalــــــــــــــلٌツ [195878869] joined and Service Msg deleted (#spam name)
 
[ Sat Apr 30 15:31:23 2016 ]=>  سام [119236286] kicked for #spam
 
[ Mon May  2 13:10:49 2016 ]=>  سام [119236286] kicked for #spam
 
[ Tue May  3 12:03:05 2016 ]=>  پژمانشاهور [120593333] kicked for #spam
 
[ Tue May  3 12:25:28 2016 ]=>  پژمانشاهور [120593333] kicked for #spam
 
[ Tue May  3 13:08:35 2016 ]=>  جًٍـًًًًٍٍٍٍّّّّّّـًٍـًٍـًًًًًًٍٍَََََََُُُِِِِِِِِّّّّّّّّّّّـًًٍٍاًًًًًًًًًًًًًًًٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍََُُُُُُُُُُُُُِِِِِِِِِِِِِِِ[لًًًًًًًًٌٌٌٌٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍََََُُُُِِِِِِِّّّّّّّّّّّّهامًًًًًًًًًًٌٌٌٌٌٌٍٍٍٍٍٍََََََََََََََََِِِِِِِِِِِِِ [94297062] kicked for #spam
 
[ Tue May  3 18:16:43 2016 ]=>  پژمانشاهور [120593333] kicked for #spam
 
[ Tue May  3 19:22:53 2016 ]=>  *ًًًًًٌٌٌٌٌٌٌٌٍٍٍُُُُُالًًًًًًًًًًًًًًًًًًًًًٌٌٍٍٍٍٍٍٍٍٍٍٍٍٍٍََََََََََُُُِِِِِِِِِِِِِِِِِِّّّّّّّّّّّّهًًًٌٌٌٍٍٍٍٍٍٍٍٍٍٍٍٍّّّاًًًًًٌٌٌٌٌٌٌٌٌٌٌٌٍٍٍٍّّّّّّّّمًًًًًًًًًٌٌٌٌٌٌٍٍََُُُُُُُُّّّّّّّّّّّ*ًًًًًًًًٌٌٌٌٍٍٍٍٍٍٍُُُُّّّّّّّّ [94297062] kicked for #spam
 
[ Wed May  4 13:32:50 2016 ]=>  پژمانشاهور [120593333] kicked for #spam
 
[ Wed May  4 13:32:50 2016 ]=>  پژمانشاهور [120593333] kicked for #spam
 
[ Wed May  4 13:33:26 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:19 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:19 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:20 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:20 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:20 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:20 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:20 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:20 2016 ]=>  پژمانشاهور [120593333] kicked for #spam
 
[ Wed May  4 14:49:20 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:20 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:22 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Wed May  4 14:49:42 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 07:46:01 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 08:42:23 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 08:42:54 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 08:42:58 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 10:48:59 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 10:49:21 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 10:49:38 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 10:50:11 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 13:05:49 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 13:08:20 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
[ Thu May  5 13:08:30 2016 ]=>  پژمانشاهور [120593333] banned user is talking !
 
