[ Wed Apr 27 18:20:43 2016 ]=>  MohammadReza [87946267] added SuperGroup
 
[ Wed Apr 27 18:20:50 2016 ]=>  MohammadReza [87946267] requested SuperGroup ID
 
[ Wed Apr 27 18:23:24 2016 ]=>                        [183760465] requested SuperGroup ID
 
[ Wed Apr 27 18:27:07 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] requested SuperGroup ID
 
[ Wed Apr 27 18:27:43 2016 ]=>                        [183760465] requested SuperGroup ID
 
[ Wed Apr 27 19:14:43 2016 ]=>  MohammadReza [87946267] locked forward posting
 
[ Thu Apr 28 13:54:39 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] attempted to create a new SuperGroup link
 
[ Thu Apr 28 13:54:50 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] requested group link [https://telegram.me/joinchat/CeNKnD3viXDRLWkKdEhNtg]
 
[ Fri Apr 29 15:40:42 2016 ]=>  MohammadReza [87946267] requested SuperGroup info
 
[ Fri Apr 29 15:46:24 2016 ]=>                        [183760465] requested SuperGroup ID
 
[ Fri Apr 29 16:21:13 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] requested SuperGroup ID
 
[ Fri Apr 29 17:46:22 2016 ]=>  {Alเгєzค}😈{paydaram}😈{ravale?} چس ممبرpv no پذیرای چس ممبر نیستم رواله؟ [88900862] requested SuperGroup ID
 
[ Wed May  4 09:59:18 2016 ]=>  MohammadReza [87946267] obtained id for: [209945324]
 
[ Thu May  5 06:54:20 2016 ]=>  MohammadReza [87946267] renamed SuperGroup to: 😑
 
[ Thu May  5 06:54:20 2016 ]=>  ☇мεgα τεslα☇ [0] renamed SuperGroup to: 😑
 
[ Thu May  5 07:02:36 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] renamed SuperGroup to: تست
 
[ Thu May  5 07:02:36 2016 ]=>  ☇мεgα τεslα☇ [0] renamed SuperGroup to: تست
 
[ Thu May  5 07:02:54 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] started setting new SuperGroup photo
 
[ Thu May  5 07:03:29 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] set new SuperGroup photo
 
[ Thu May  5 07:04:09 2016 ]=>  MohammadReza [87946267] set SuperGroup description to: Fuck My Life😑😕
 
[ Thu May  5 07:04:27 2016 ]=>  MohammadReza [87946267] has changed group rules to [تست]
 
[ Thu May  5 07:04:31 2016 ]=>  MohammadReza [87946267] requested group rules
 
[ Thu May  5 07:06:40 2016 ]=>  MohammadReza [87946267] cleaned rules
 
[ Thu May  5 07:06:43 2016 ]=>  MohammadReza [87946267] requested group rules
 
[ Thu May  5 07:06:52 2016 ]=>  MohammadReza [87946267] requested group modlist
 
[ Thu May  5 07:06:58 2016 ]=>  MohammadReza [87946267] promoted mod: @@arina_love_me_e[208774112] by reply
 
[ Thu May  5 07:07:02 2016 ]=>  MohammadReza [87946267] requested group modlist
 
[ Thu May  5 07:26:16 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] promoted mod: @@The_DeSigN3r[87946267] by reply
 
[ Thu May  5 07:26:26 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] promoted mod: @@The_DeSigN3r[87946267] by reply
 
[ Thu May  5 07:26:39 2016 ]=>  💞мιѕѕ αяιηα💕 [208774112] requested group modlist
 
[ Thu May  5 07:27:40 2016 ]=>  MohammadReza [87946267] demoted @MegaTesla
 
[ Thu May  5 11:38:47 2016 ]=>  MohammadReza [87946267] added SuperGroup
 
[ Thu May  5 11:48:15 2016 ]=>  MohammadReza [87946267] requested SuperGroup settings 
 
[ Thu May  5 11:48:24 2016 ]=>  MohammadReza [87946267] requested SuperGroup settings 
 
[ Thu May  5 11:48:32 2016 ]=>  MohammadReza [87946267] added SuperGroup
 
[ Thu May  5 11:48:36 2016 ]=>  MohammadReza [87946267] requested SuperGroup settings 
 
[ Thu May  5 11:50:41 2016 ]=>  MohammadReza [87946267] requested SuperGroup settings 
 
[ Thu May  5 17:45:32 2016 ]=>  MohammadReza [87946267] obtained id for: [87946267]
 
